activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,70348,[],CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,BAO_0000192,BAO_0000219,cell-based format,O=C(Cc1cccc2ccccc12)Nc3nc4nn(CCc5ccccc5)cc4c6nc(nn36)c7occc7,,,CHEMBL1145112,J. Med. Chem.,2003.0,"{'bei': '14.14', 'le': '0.25', 'lle': '1.95', 'sei': '7.04'}",CHEMBL135719,,CHEMBL135719,7.26,False,http://www.openphacts.org/units/Nanomolar,261082,=,1,True,=,,Ki,nM,,55,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,nM,UO_0000065,,55
,85402,[],CHEMBL640528,[3H]NECA saturation binding in CHO cells expressing human recombinant A2A adenosine receptor,B,BAO_0000192,BAO_0000219,cell-based format,CCn1c(nc2c(N)ncnc12)C#Cc3ccccc3,,,CHEMBL1134734,Bioorg. Med. Chem. Lett.,2001.0,"{'bei': '23.63', 'le': '0.42', 'lle': '4.39', 'sei': '8.94'}",CHEMBL61259,,CHEMBL61259,6.22,False,http://www.openphacts.org/units/Nanomolar,99477,=,1,True,=,,Ki,nM,,600,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,uM,UO_0000065,,0.6
,88403,[],CHEMBL640528,[3H]NECA saturation binding in CHO cells expressing human recombinant A2A adenosine receptor,B,BAO_0000192,BAO_0000219,cell-based format,CCCCC#Cc1nc2c(N)ncnc2n1[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O,,,CHEMBL1134734,Bioorg. Med. Chem. Lett.,2001.0,,CHEMBL2181966,,CHEMBL2181966,,True,http://www.openphacts.org/units/Nanomolar,99473,>,1,True,>,,Ki,nM,,100000,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,uM,UO_0000065,,100
,90287,[],CHEMBL641568,Displacement of [3H]-CGS- 21680 from A2A receptor in human brain membrane,B,BAO_0000192,BAO_0000249,cell membrane format,Nc1ncnc2c1ncn2[C@H]3[C@H](O)[C@H](O)[C@]4(CO)C[C@H]34,,,CHEMBL1134070,Bioorg. Med. Chem. Lett.,2001.0,"{'bei': '16.76', 'le': '0.32', 'lle': '5.97', 'sei': '3.57'}",CHEMBL287321,,CHEMBL287321,4.65,False,http://www.openphacts.org/units/Nanomolar,38152,=,1,True,=,,Ki,nM,,22500,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,nM,UO_0000065,,22500
,91358,[],CHEMBL640528,[3H]NECA saturation binding in CHO cells expressing human recombinant A2A adenosine receptor,B,BAO_0000192,BAO_0000219,cell-based format,CCNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(N)ncnc23,,,CHEMBL1134734,Bioorg. Med. Chem. Lett.,2001.0,"{'bei': '24.97', 'le': '0.48', 'lle': '9.54', 'sei': '5.19'}",CHEMBL464859,NECA,CHEMBL464859,7.7,True,http://www.openphacts.org/units/Nanomolar,99472,=,1,True,=,,Ki,nM,,20,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,uM,UO_0000065,,0.02
,93321,[],CHEMBL640528,[3H]NECA saturation binding in CHO cells expressing human recombinant A2A adenosine receptor,B,BAO_0000192,BAO_0000219,cell-based format,Nc1ncnc2c1nc(C#Cc3ccccc3)n2[C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O,,,CHEMBL1134734,Bioorg. Med. Chem. Lett.,2001.0,,CHEMBL3350497,,CHEMBL3350497,,False,http://www.openphacts.org/units/Nanomolar,99475,>,1,True,>,,Ki,nM,,100000,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,uM,UO_0000065,,100
,100321,[],CHEMBL640528,[3H]NECA saturation binding in CHO cells expressing human recombinant A2A adenosine receptor,B,BAO_0000192,BAO_0000219,cell-based format,Nc1ncnc2c1nc(\C=C\C(=O)c3ccccc3)n2[C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O,,,CHEMBL1134734,Bioorg. Med. Chem. Lett.,2001.0,"{'bei': '10.9', 'le': '0.2', 'lle': '4.41', 'sei': '2.77'}",CHEMBL3350496,,CHEMBL3350496,4.33,False,http://www.openphacts.org/units/Nanomolar,99476,=,1,True,=,,Ki,nM,,46600,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,uM,UO_0000065,,46.6
,183859,[],CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,BAO_0000192,BAO_0000357,single protein format,CCN(CC)C(=O)c1cc(N)c2nc(nn2c1)c3oc(Br)cc3,,,CHEMBL1149198,Bioorg. Med. Chem. Lett.,2004.0,"{'bei': '17.34', 'le': '0.39', 'lle': '3.74', 'sei': '7.31'}",CHEMBL113189,,CHEMBL113189,6.56,False,http://www.openphacts.org/units/Nanomolar,211426,=,1,True,=,,Ki,nM,,277,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,nM,UO_0000065,,277
,183861,[],CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,BAO_0000192,BAO_0000357,single protein format,Nc1cc(cn2nc(nc12)c3oc(Br)cc3)C(=O)N4CCCC4,,,CHEMBL1149198,Bioorg. Med. Chem. Lett.,2004.0,"{'bei': '19.82', 'le': '0.44', 'lle': '4.89', 'sei': '8.32'}",CHEMBL112195,,CHEMBL112195,7.46,False,http://www.openphacts.org/units/Nanomolar,211427,=,1,True,=,,Ki,nM,,35,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,nM,UO_0000065,,35
,183863,[],CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,BAO_0000192,BAO_0000357,single protein format,CN(C)C(=O)CN(C)C(=O)c1cc(N)c2nc(nn2c1)c3oc(Br)cc3,,,CHEMBL1149198,Bioorg. Med. Chem. Lett.,2004.0,"{'bei': '18.13', 'le': '0.4', 'lle': '6.15', 'sei': '6.95'}",CHEMBL113541,,CHEMBL113541,7.64,False,http://www.openphacts.org/units/Nanomolar,211434,=,1,True,=,,Ki,nM,,23,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,nM,UO_0000065,,23
,184804,[],CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,BAO_0000192,BAO_0000219,cell-based format,CNc1nc(nc2c1ncn2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C#C[C@@H](O)c4ccccc4,,,CHEMBL1135517,J. Med. Chem.,2002.0,"{'bei': '16.5', 'le': '0.31', 'lle': '7.23', 'sei': '4.66'}",CHEMBL261453,,CHEMBL261453,6.79,False,http://www.openphacts.org/units/Nanomolar,209312,=,1,True,=,,Ki,nM,,163,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,nM,UO_0000065,,163
,186289,[],CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,BAO_0000192,BAO_0000219,cell-based format,CCNc1nc(nc2c1ncn2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C#C[C@@H](O)c4ccccc4,,,CHEMBL1135517,J. Med. Chem.,2002.0,"{'bei': '16.91', 'le': '0.32', 'lle': '7.24', 'sei': '4.93'}",CHEMBL258535,,CHEMBL258535,7.19,False,http://www.openphacts.org/units/Nanomolar,209311,=,1,True,=,,Ki,nM,,64,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,nM,UO_0000065,,64
,187518,[],CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,BAO_0000192,BAO_0000219,cell-based format,CNc1nc(nc2c1ncn2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C#Cc4ccccc4,,,CHEMBL1135517,J. Med. Chem.,2002.0,"{'bei': '13.29', 'le': '0.25', 'lle': '5.19', 'sei': '4.04'}",CHEMBL574597,,CHEMBL574597,5.07,True,http://www.openphacts.org/units/Nanomolar,209309,=,1,True,=,,Ki,nM,,8530,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,nM,UO_0000065,,8530
,187838,[],CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,BAO_0000192,BAO_0000357,single protein format,Nc1cc(cc2nc(nn12)c3occc3)C(=O)N4CCCCC4,,,CHEMBL1149198,Bioorg. Med. Chem. Lett.,2004.0,"{'bei': '24.31', 'le': '0.45', 'lle': '5.37', 'sei': '8.44'}",CHEMBL109845,,CHEMBL109845,7.57,False,http://www.openphacts.org/units/Nanomolar,211462,=,1,True,=,,Ki,nM,,27,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,nM,UO_0000065,,27
,189881,[],CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,BAO_0000192,BAO_0000219,cell-based format,Nc1nc(nc2c1ncn2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C#CC(O)c4ccccc4,,,CHEMBL1135517,J. Med. Chem.,2002.0,"{'bei': '20.52', 'le': '0.38', 'lle': '9.04', 'sei': '5.1'}",CHEMBL2092941,,CHEMBL2092941,8.15,False,http://www.openphacts.org/units/Nanomolar,209305,=,1,True,=,,Ki,nM,,7,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,nM,UO_0000065,,7
,190190,[],CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,BAO_0000192,BAO_0000357,single protein format,COC[C@H]1CCCN1C(=O)c2cc(N)c3nc(nn3c2)c4oc(Br)cc4,,,CHEMBL1149198,Bioorg. Med. Chem. Lett.,2004.0,"{'bei': '17.17', 'le': '0.38', 'lle': '4.62', 'sei': '7.3'}",CHEMBL110646,,CHEMBL110646,7.21,False,http://www.openphacts.org/units/Nanomolar,211433,=,1,True,=,,Ki,nM,,61,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,nM,UO_0000065,,61
,190192,[],CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,BAO_0000192,BAO_0000357,single protein format,Cc1oc(cc1)c2nc3cc(cc(N)n3n2)C(=O)N4CCCCC4,,,CHEMBL1149198,Bioorg. Med. Chem. Lett.,2004.0,"{'bei': '24.14', 'le': '0.45', 'lle': '5.34', 'sei': '8.76'}",CHEMBL113228,,CHEMBL113228,7.85,False,http://www.openphacts.org/units/Nanomolar,211465,=,1,True,=,,Ki,nM,,14,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,nM,UO_0000065,,14
,191176,[],CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,BAO_0000192,BAO_0000219,cell-based format,CCCCC#Cc1nc(NCC)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,,,CHEMBL1135517,J. Med. Chem.,2002.0,"{'bei': '17.51', 'le': '0.33', 'lle': '6.16', 'sei': '5.24'}",CHEMBL437842,,CHEMBL437842,6.57,False,http://www.openphacts.org/units/Nanomolar,209320,=,1,True,=,,Ki,nM,,267,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,nM,UO_0000065,,267
,192275,[],CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,BAO_0000192,BAO_0000219,cell-based format,CCNc1nc(nc2c1ncn2C3O[C@H](CO)[C@@H](O)[C@H]3O)C#Cc4ccccc4,,,CHEMBL1135517,J. Med. Chem.,2002.0,"{'bei': '13.53', 'le': '0.25', 'lle': '5.08', 'sei': '4.26'}",CHEMBL607759,,CHEMBL607759,5.35,False,http://www.openphacts.org/units/Nanomolar,209308,=,1,True,=,,Ki,nM,,4450,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,nM,UO_0000065,,4450
,192281,[],CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,BAO_0000192,BAO_0000219,cell-based format,CCNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(N)nc(nc23)C#CC(O)c4ccccc4,,,CHEMBL1135517,J. Med. Chem.,2002.0,"{'bei': '19.41', 'le': '0.36', 'lle': '9.26', 'sei': '5.05'}",CHEMBL2094083,,CHEMBL2094083,8.51,False,http://www.openphacts.org/units/Nanomolar,209306,=,1,True,=,,Ki,nM,,3.1,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,nM,UO_0000065,,3.1
,192287,[],CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,BAO_0000192,BAO_0000219,cell-based format,CCNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(N)nc(nc23)C#C[C@H](O)c4ccccc4,,,CHEMBL1135517,J. Med. Chem.,2002.0,"{'bei': '16.9', 'le': '0.32', 'lle': '8.16', 'sei': '4.39'}",CHEMBL258534,,CHEMBL258534,7.41,False,http://www.openphacts.org/units/Nanomolar,209301,=,1,True,=,,Ki,nM,,39,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,nM,UO_0000065,,39
,192592,[],CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,BAO_0000192,BAO_0000357,single protein format,Cc1oc(cc1)c2nc3c(N)cc(cn3n2)C(=O)N4CCCC4,,,CHEMBL1149198,Bioorg. Med. Chem. Lett.,2004.0,"{'bei': '22.87', 'le': '0.42', 'lle': '5', 'sei': '7.94'}",CHEMBL432624,,CHEMBL432624,7.12,False,http://www.openphacts.org/units/Nanomolar,211444,=,1,True,=,,Ki,nM,,76,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,nM,UO_0000065,,76
,193782,[],CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,BAO_0000192,BAO_0000357,single protein format,CC1CCCCN1C(=O)c2cc(N)n3nc(nc3c2)c4oc(Br)cc4,,,CHEMBL1149198,Bioorg. Med. Chem. Lett.,2004.0,"{'bei': '21.52', 'le': '0.48', 'lle': '5.35', 'sei': '9.7'}",CHEMBL113967,,CHEMBL113967,8.7,False,http://www.openphacts.org/units/Nanomolar,211451,=,1,True,=,,Ki,nM,,2,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,nM,UO_0000065,,2
,194904,[],CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,BAO_0000192,BAO_0000357,single protein format,CC1CCCN(C1)C(=O)c2cc(N)c3nc(nn3c2)c4oc(Br)cc4,,,CHEMBL1149198,Bioorg. Med. Chem. Lett.,2004.0,"{'bei': '19.35', 'le': '0.43', 'lle': '4.61', 'sei': '8.73'}",CHEMBL113542,,CHEMBL113542,7.82,False,http://www.openphacts.org/units/Nanomolar,211435,=,1,True,=,,Ki,nM,,15,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,nM,UO_0000065,,15
,194906,[],CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,BAO_0000192,BAO_0000357,single protein format,CN(CCc1ccccc1)C(=O)c2cc(N)c3nc(nn3c2)c4oc(Br)cc4,,,CHEMBL1149198,Bioorg. Med. Chem. Lett.,2004.0,"{'bei': '16.58', 'le': '0.36', 'lle': '3.65', 'sei': '8.14'}",CHEMBL112740,,CHEMBL112740,7.3,False,http://www.openphacts.org/units/Nanomolar,211439,=,1,True,=,,Ki,nM,,50,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,nM,UO_0000065,,50
,194908,[],CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,BAO_0000192,BAO_0000357,single protein format,CN(C)C(=O)CN(C)C(=O)c1cc(N)n2nc(nc2c1)c3oc(Br)cc3,,,CHEMBL1149198,Bioorg. Med. Chem. Lett.,2004.0,"{'bei': '20.23', 'le': '0.45', 'lle': '7.03', 'sei': '7.75'}",CHEMBL112631,,CHEMBL112631,8.52,False,http://www.openphacts.org/units/Nanomolar,211454,=,1,True,=,,Ki,nM,,3,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,nM,UO_0000065,,3
,194910,[],CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,BAO_0000192,BAO_0000357,single protein format,CC1CCCN(C1)C(=O)c2cc(N)n3nc(nc3c2)c4oc(Br)cc4,,,CHEMBL1149198,Bioorg. Med. Chem. Lett.,2004.0,"{'bei': '21.08', 'le': '0.47', 'lle': '5.31', 'sei': '9.51'}",CHEMBL323945,,CHEMBL323945,8.52,False,http://www.openphacts.org/units/Nanomolar,211455,=,1,True,=,,Ki,nM,,3,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,nM,UO_0000065,,3
,195774,[],CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,BAO_0000192,BAO_0000219,cell-based format,CC(C)Nc1nc(nc2c1ncn2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C#CC(O)c4ccccc4,,,CHEMBL1135517,J. Med. Chem.,2002.0,"{'bei': '15.97', 'le': '0.3', 'lle': '6.68', 'sei': '4.81'}",CHEMBL2092787,,CHEMBL2092787,7.02,False,http://www.openphacts.org/units/Nanomolar,209302,=,1,True,=,,Ki,nM,,96,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,nM,UO_0000065,,96
,195780,[],CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,BAO_0000192,BAO_0000219,cell-based format,Nc1nc(nc2c1ncn2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C#C[C@@H](O)c4ccccc4,,,CHEMBL1135517,J. Med. Chem.,2002.0,"{'bei': '22.01', 'le': '0.41', 'lle': '9.63', 'sei': '5.47'}",CHEMBL262363,,CHEMBL262363,8.74,False,http://www.openphacts.org/units/Nanomolar,209313,=,1,True,=,,Ki,nM,,1.8,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,nM,UO_0000065,,1.8
,196118,[],CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,BAO_0000192,BAO_0000357,single protein format,CC1CCCCN1C(=O)c2cc(N)c3nc(nn3c2)c4oc(Br)cc4,,,CHEMBL1149198,Bioorg. Med. Chem. Lett.,2004.0,"{'bei': '17.83', 'le': '0.39', 'lle': '3.86', 'sei': '8.04'}",CHEMBL325993,,CHEMBL325993,7.21,False,http://www.openphacts.org/units/Nanomolar,211431,=,1,True,=,,Ki,nM,,62,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,nM,UO_0000065,,62
